symbol,Report Date,Publish Date,eps_diluted,Operating Income (Loss),Net Income,Revenue,total_equity,total_debt,cash,enterprise_value_proxy,ebit_over_tev,return_on_equity,net_profit_margin,profitability_to_book_proxy
A,2020-07-31,2020-09-01,0.6378205128205128,230000000.0,199000000.0,1261000000.0,4981000000.0,2323000000.0,1358000000.0,5946000000.0,0.038681466532122434,0.0399518169042361,0.1578112609040444,0.0399518169042361
A,2020-10-31,2020-12-18,0.7138263665594855,299000000.0,222000000.0,1483000000.0,4873000000.0,2359000000.0,1441000000.0,5791000000.0,0.05163184251424625,0.045557151651959775,0.14969656102494944,0.045557151651959775
A,2021-01-31,2021-03-02,0.9320388349514563,328000000.0,288000000.0,1548000000.0,4804000000.0,2499000000.0,1329000000.0,5974000000.0,0.054904586541680615,0.05995004163197336,0.18604651162790697,0.05995004163197336
A,2021-04-30,2021-06-01,0.7058823529411765,288000000.0,216000000.0,1525000000.0,4810000000.0,2932000000.0,1380000000.0,6362000000.0,0.045268783401446085,0.04490644490644491,0.14163934426229507,0.04490644490644491
A,2021-07-31,2021-09-01,0.8627450980392157,336000000.0,264000000.0,1586000000.0,4946000000.0,2858000000.0,1428000000.0,6376000000.0,0.05269761606022585,0.05337646583097452,0.1664564943253468,0.05337646583097452
A,2021-10-31,2021-12-17,1.4397394136807817,395000000.0,442000000.0,1660000000.0,5389000000.0,2729000000.0,1575000000.0,6543000000.0,0.06036986092006725,0.08201892744479496,0.26626506024096386,0.08201892744479496
A,2022-01-31,2022-03-03,0.933993399339934,376000000.0,283000000.0,1674000000.0,5154000000.0,2730000000.0,1158000000.0,6726000000.0,0.05590246803449301,0.05490880869227784,0.16905615292712067,0.05490880869227784
A,2022-04-30,2022-05-31,0.9102990033222591,360000000.0,274000000.0,1607000000.0,5122000000.0,2905000000.0,1207000000.0,6820000000.0,0.05278592375366569,0.053494728621632175,0.17050404480398257,0.053494728621632175
A,2022-07-31,2022-09-01,1.100334448160535,411000000.0,329000000.0,1718000000.0,5305000000.0,2769000000.0,1053000000.0,7021000000.0,0.0585386697051702,0.062016965127238456,0.19150174621653085,0.062016965127238456
A,2022-10-31,2022-12-21,1.1323076923076922,471000000.0,368000000.0,1849000000.0,5305000000.0,2769000000.0,1053000000.0,7021000000.0,0.06708446090300527,0.06936852026390197,0.1990265008112493,0.06936852026390197
A,2023-01-31,2023-03-03,1.1812080536912752,426000000.0,352000000.0,1756000000.0,5609000000.0,2971000000.0,1250000000.0,7330000000.0,0.058117326057298774,0.06275628454269923,0.20045558086560364,0.06275628454269923
A,2023-04-30,2023-05-26,1.0168350168350169,383000000.0,302000000.0,1717000000.0,5781000000.0,2733000000.0,1175000000.0,7339000000.0,0.05218694645047009,0.052240096869053794,0.17588817705299942,0.052240096869053794
A,2023-07-31,2023-08-31,0.376271186440678,133000000.0,111000000.0,1672000000.0,5558000000.0,2789000000.0,1329000000.0,7018000000.0,0.018951268167569108,0.019971212666426773,0.06638755980861244,0.019971212666426773
A,2023-10-31,2023-12-20,1.6156462585034013,408000000.0,475000000.0,1688000000.0,5845000000.0,2735000000.0,1590000000.0,6990000000.0,0.05836909871244635,0.08126603934987169,0.28139810426540285,0.08126603934987169
A,2024-01-31,2024-03-05,1.183673469387755,384000000.0,348000000.0,1658000000.0,6188000000.0,2555000000.0,1748000000.0,6995000000.0,0.054896354538956395,0.05623787976729153,0.20989143546441497,0.05623787976729153
A,2024-04-30,2024-06-03,1.0476190476190477,363000000.0,308000000.0,1573000000.0,6214000000.0,2556000000.0,1671000000.0,7099000000.0,0.051133962529933796,0.04956549726424203,0.1958041958041958,0.04956549726424203
A,2024-07-31,2024-08-30,0.9690721649484536,333000000.0,282000000.0,1578000000.0,5903000000.0,2932000000.0,1779000000.0,7056000000.0,0.047193877551020405,0.04777231915974928,0.17870722433460076,0.04777231915974928
A,2024-10-31,2024-12-20,1.231578947368421,408000000.0,351000000.0,1701000000.0,5898000000.0,3390000000.0,1329000000.0,7959000000.0,0.051262721447418017,0.0595116988809766,0.20634920634920634,0.0595116988809766
A,2025-01-31,2025-03-03,1.10801393728223,376000000.0,318000000.0,1681000000.0,6027000000.0,3363000000.0,1467000000.0,7923000000.0,0.047456771424965294,0.05276256844201095,0.18917311124330755,0.05276256844201095
A,2025-04-30,2025-06-02,0.7543859649122807,300000000.0,215000000.0,1668000000.0,6136000000.0,3495000000.0,1486000000.0,8145000000.0,0.03683241252302026,0.03503911342894394,0.1288968824940048,0.03503911342894394
AAPL,2020-06-30,2020-07-31,0.6460130780189529,13091000000.0,11253000000.0,59685000000.0,72282000000.0,112723000000.0,93025000000.0,91980000000.0,0.1423244183518156,0.15568191250933844,0.18853983412917819,0.15568191250933844
AAPL,2020-09-30,2020-10-30,0.73438891864897,14775000000.0,12673000000.0,64698000000.0,65339000000.0,112436000000.0,90943000000.0,86832000000.0,0.1701561636263129,0.19395766693705138,0.19587931620761073,0.19395766693705138
AAPL,2020-12-31,2021-01-28,1.6802339741147554,33534000000.0,28755000000.0,111439000000.0,66224000000.0,112043000000.0,76826000000.0,101441000000.0,0.3305763941601522,0.43420814206330033,0.25803354301456405,0.43420814206330033
AAPL,2021-03-31,2021-04-29,1.3958166966021994,27503000000.0,23630000000.0,89584000000.0,69178000000.0,121645000000.0,69834000000.0,120989000000.0,0.22731818595078893,0.3415825840585157,0.2637747812109305,0.3415825840585157
AAPL,2021-06-30,2021-07-28,1.2774490123416826,24126000000.0,21744000000.0,81434000000.0,64280000000.0,121791000000.0,61696000000.0,124375000000.0,0.19397788944723618,0.3382700684505289,0.2670137780288332,0.3382700684505289
AAPL,2021-09-30,2021-10-29,1.2440606561141152,23786000000.0,20551000000.0,83360000000.0,63090000000.0,124719000000.0,62639000000.0,125170000000.0,0.1900295597986738,0.32574100491361546,0.2465331094049904,0.32574100491361546
AAPL,2021-12-31,2022-01-28,2.0963369432743812,41488000000.0,34630000000.0,123945000000.0,71932000000.0,122798000000.0,63913000000.0,130817000000.0,0.3171453251488721,0.4814269031863427,0.2793981201339304,0.4814269031863427
AAPL,2022-03-31,2022-04-29,1.513987494983895,29979000000.0,25010000000.0,97278000000.0,67399000000.0,119981000000.0,51511000000.0,135869000000.0,0.22064635788884882,0.37107375480348376,0.25709821336787353,0.37107375480348376
AAPL,2022-06-30,2022-07-29,1.195532979141879,23076000000.0,19442000000.0,82959000000.0,58107000000.0,119691000000.0,48231000000.0,129567000000.0,0.17810090532311468,0.3345896363605073,0.2343567304331055,0.3345896363605073
AAPL,2022-09-30,2022-10-28,1.2692165703907412,24894000000.0,20721000000.0,90146000000.0,50672000000.0,120069000000.0,48304000000.0,122437000000.0,0.2033208915605577,0.40892406062519737,0.22986044860559537,0.40892406062519737
AAPL,2022-12-31,2023-02-03,1.880078351848535,36016000000.0,29998000000.0,117154000000.0,56727000000.0,111110000000.0,51355000000.0,116482000000.0,0.309197987671915,0.5288134398082042,0.2560561312460522,0.5288134398082042
AAPL,2023-03-31,2023-05-05,1.5245739743359175,28318000000.0,24160000000.0,94836000000.0,62158000000.0,109615000000.0,55872000000.0,115901000000.0,0.24432921199989646,0.38868689468773127,0.25475557805052934,0.38868689468773127
AAPL,2023-06-30,2023-08-04,1.260283583774627,22998000000.0,19881000000.0,81797000000.0,60274000000.0,109280000000.0,62482000000.0,107072000000.0,0.2147900478182905,0.32984371370740284,0.24305292370135825,0.32984371370740284
AAPL,2023-09-30,2023-11-03,1.4647406564878804,26969000000.0,22956000000.0,89498000000.0,62146000000.0,111088000000.0,61555000000.0,111679000000.0,0.24148676116369236,0.3693882148489042,0.25649735189613176,0.3693882148489042
AAPL,2023-12-31,2024-02-02,2.177362885875074,40373000000.0,33916000000.0,119575000000.0,74100000000.0,108040000000.0,73100000000.0,109040000000.0,0.37025862068965515,0.45770580296896085,0.2836378841731131,0.45770580296896085
AAPL,2024-03-31,2024-05-03,1.5283831076291186,27900000000.0,23636000000.0,90753000000.0,74194000000.0,104590000000.0,67150000000.0,111634000000.0,0.24992385832273323,0.3185702347898752,0.26044318094167684,0.3185702347898752
AAPL,2024-06-30,2024-08-02,1.3974299876043894,25352000000.0,21448000000.0,85777000000.0,66708000000.0,101304000000.0,61801000000.0,106211000000.0,0.23869467380968074,0.32152065719254064,0.25004371801298714,0.32152065719254064
AAPL,2024-09-30,2024-11-01,0.9667480271904443,29591000000.0,14736000000.0,94930000000.0,56950000000.0,106629000000.0,65171000000.0,98408000000.0,0.3006970977969271,0.2587532923617208,0.15523016959865163,0.2587532923617208
AAPL,2024-12-31,2025-01-31,2.397882893154945,42832000000.0,36330000000.0,124300000000.0,66758000000.0,96799000000.0,53775000000.0,109782000000.0,0.3901550345229637,0.5442044399173133,0.2922767497988737,0.5442044399173133
AAPL,2025-03-31,2025-05-02,1.6458409340565734,29589000000.0,24780000000.0,95359000000.0,66796000000.0,98186000000.0,48498000000.0,116484000000.0,0.2540177191717317,0.3709802982214504,0.25986010759341016,0.3709802982214504
ABBV,2020-06-30,2020-08-04,-0.44808743169398907,1605000000.0,-738000000.0,10425000000.0,14732000000.0,87432000000.0,6040000000.0,96124000000.0,0.016697182805542842,-0.05009503122454521,-0.07079136690647482,-0.05009503122454521
ABBV,2020-09-30,2020-11-04,1.3010146561443066,3300000000.0,2308000000.0,12902000000.0,15289000000.0,87059000000.0,7950000000.0,94398000000.0,0.034958367762028854,0.1509582052456014,0.17888699426445512,0.1509582052456014
ABBV,2020-12-31,2021-02-19,0.020145495243424735,4231000000.0,36000000.0,13858000000.0,13097000000.0,86056000000.0,8479000000.0,90674000000.0,0.04666166707104572,0.0027487210811636253,0.0025977774570645116,0.0027487210811636253
ABBV,2021-03-31,2021-05-07,2.0016901408450702,4103000000.0,3553000000.0,13010000000.0,13733000000.0,85530000000.0,9777000000.0,89486000000.0,0.045850747602977,0.25871987184154954,0.27309761721752496,0.25871987184154954
ABBV,2021-06-30,2021-08-02,0.4313063063063063,4441000000.0,766000000.0,13959000000.0,12594000000.0,82138000000.0,8600000000.0,86132000000.0,0.05156039567175962,0.06082261394314753,0.05487499104520381,0.06082261394314753
ABBV,2021-09-30,2021-11-02,1.7889701744513224,4306000000.0,3179000000.0,14342000000.0,13577000000.0,80721000000.0,12249000000.0,82049000000.0,0.05248083462321296,0.23414598217573837,0.22165667270952447,0.23414598217573837
ABBV,2021-12-31,2022-02-18,2.266816143497758,6198000000.0,4044000000.0,14886000000.0,15436000000.0,76684000000.0,9830000000.0,82290000000.0,0.07531899380240613,0.26198497019953354,0.27166465135026197,0.26198497019953354
ABBV,2022-03-31,2022-05-06,2.5253093363329584,4862000000.0,4490000000.0,13538000000.0,16314000000.0,73474000000.0,7572000000.0,82216000000.0,0.05913690765787681,0.27522373421601076,0.3316590338306988,0.27522373421601076
ABBV,2022-06-30,2022-08-04,0.5196850393700787,3564000000.0,924000000.0,14583000000.0,14688000000.0,72932000000.0,9961000000.0,77659000000.0,0.04589294222176438,0.06290849673202614,0.06336144826167456,0.06290849673202614
ABBV,2022-09-30,2022-11-04,2.22103487064117,4643000000.0,3949000000.0,14812000000.0,16027000000.0,69606000000.0,11879000000.0,73754000000.0,0.06295251782954145,0.24639670555936857,0.2666081555495544,0.24639670555936857
ABBV,2022-12-31,2023-02-17,1.390888638920135,5745000000.0,2473000000.0,15121000000.0,17287000000.0,63271000000.0,9229000000.0,71329000000.0,0.08054227593265012,0.1430554752125875,0.16354738443224653,0.1430554752125875
ABBV,2023-03-31,2023-05-05,0.13457207207207209,2918000000.0,239000000.0,12225000000.0,13303000000.0,62093000000.0,6722000000.0,68674000000.0,0.04249060779916708,0.01796587235961813,0.019550102249488752,0.01796587235961813
ABBV,2023-06-30,2023-08-07,1.140000000315415,4793000000.0,2024000000.0,13865000000.0,12898000000.0,61015000000.0,8766000000.0,65147000000.0,0.07357207546011328,0.15692355403938596,0.14597908402452217,0.15692355403938596
ABBV,2023-09-30,2023-11-06,1.0039525691699605,2347000000.0,1778000000.0,13927000000.0,12129000000.0,60746000000.0,13290000000.0,59585000000.0,0.0393891079969791,0.1465908154011048,0.12766568535937386,0.1465908154011048
ABBV,2023-12-31,2024-02-20,0.46452188555984125,3477000000.0,822000000.0,14301000000.0,10397000000.0,59385000000.0,12816000000.0,56966000000.0,0.061036407681775096,0.07906126767336731,0.05747849800713237,0.07906126767336731
ABBV,2024-03-31,2024-05-03,0.7721376198533559,2962000000.0,1369000000.0,12310000000.0,8047000000.0,74001000000.0,18069000000.0,63979000000.0,0.04629644101970959,0.17012551261339628,0.11121039805036556,0.17012551261339628
ABBV,2024-06-30,2024-08-07,0.7735742518351214,4935000000.0,1370000000.0,14462000000.0,6821000000.0,70634000000.0,13157000000.0,64298000000.0,0.07675199850695201,0.2008503152030494,0.09473101922279076,0.2008503152030494
ABBV,2024-09-30,2024-11-04,0.8809255079006773,3913000000.0,1561000000.0,14460000000.0,6071000000.0,71079000000.0,7285000000.0,69865000000.0,0.056008015458384026,0.2571240322846319,0.10795297372060858,0.2571240322846319
ABBV,2024-12-31,2025-02-14,-0.012387387387387387,84000000.0,-22000000.0,15102000000.0,3364000000.0,67144000000.0,5555000000.0,64953000000.0,0.0012932428063368898,-0.006539833531510107,-0.0014567606939478214,-0.006539833531510107
ABBV,2025-03-31,2025-05-09,0.7257336343115124,3981000000.0,1286000000.0,13343000000.0,1462000000.0,69889000000.0,5176000000.0,66175000000.0,0.060158670192670946,0.8796169630642955,0.0963801244098029,0.8796169630642955
ABNB,2020-12-31,2021-02-05,-6.469216549837693,-3086002000.0,-3888135000.0,859065000.0,2901783000.0,1815562000.0,6391257000.0,-1673912000.0,1.8435867596384996,-1.3399123917949758,-4.526007927223202,-1.3399123917949758
ABNB,2021-03-31,2021-05-14,-1.9503661269739327,-334963000.0,-1172211000.0,886936000.0,3159423000.0,1979398000.0,6569307000.0,-1430486000.0,0.23416027839489517,-0.37102059458325143,-1.3216410203216467,-0.37102059458325143
ABNB,2021-06-30,2021-08-13,-0.11151324339301565,-50716000.0,-68217000.0,1335196000.0,3393201000.0,1980455000.0,7427939000.0,-2054283000.0,0.024687932480578382,-0.020104025667798637,-0.05109137534863795,-0.020104025667798637
ABNB,2021-09-30,2021-11-05,1.2228676259246007,851508000.0,833893000.0,2237432000.0,4448934000.0,1981496000.0,7920703000.0,-1490273000.0,-0.5713771906221209,0.18743658593272006,0.3727009357155882,0.18743658593272006
ABNB,2021-12-31,2022-02-25,0.06101947901549795,76171000.0,54535000.0,1532436000.0,4775000000.0,1983000000.0,8322000000.0,-1564000000.0,-0.048702685421994886,0.011420942408376964,0.0355871305555338,0.011420942408376964
ABNB,2022-03-31,2022-05-09,-0.027904408309051602,-5000000.0,-19000000.0,1509000000.0,4737416000.0,1983578000.0,9322289000.0,-2601295000.0,0.0019221195596808513,-0.004010625201586688,-0.012591119946984758,-0.004010625201586688
ABNB,2022-06-30,2022-08-03,0.5566195131121346,458000000.0,379000000.0,2104000000.0,5245025000.0,1984618000.0,9895479000.0,-2665836000.0,-0.17180351679548178,0.0722589501479974,0.18013307984790874,0.0722589501479974
ABNB,2022-09-30,2022-11-03,1.7760586128601858,1203000000.0,1214000000.0,2884000000.0,5540136000.0,1985659000.0,9627586000.0,-2101791000.0,-0.5723689938723688,0.21912819468691744,0.4209431345353675,0.21912819468691744
ABNB,2022-12-31,2023-02-17,0.5179487928870531,235000000.0,319000000.0,1902000000.0,5560000000.0,1987000000.0,9622000000.0,-2075000000.0,-0.11325301204819277,0.05737410071942446,0.16771819137749738,0.05737410071942446
