col,n,miss_pct,inf_pct,p01,p25,p50,p75,p99,min,max
revenue,5995,0.0,0.0,177452760.0,1262742000.0,2924066000.0,6507000000.0,85307940000.0002,-12053000000.0,180554000000.0
gross_profit,5995,5.170975813177648,0.0,-63167879.99999991,567270000.0,1138000000.0,2641000000.0,35446559999.99999,-24353000000.0,104394000000.0
operating_income,5995,0.0,0.0,-1003079840.0,188468500.0,416800000.0,1038187500.0,17439060000.00016,-19853000000.0,42832000000.0
net_income,5995,0.0,0.0,-1776380000.0,120650000.0,293000000.0,769647500.0,13916420000.000042,-20070000000.0,36330000000.0
eps_diluted,5995,0.03336113427856547,0.0,-3.5124871463332688,0.4268633224672361,1.0420664206642067,2.0679886685552407,12.67023367086799,-756.9847418186102,1924528.3018867923
total_assets,5995,0.0,0.0,1755234820.0,8825500000.0,20846100000.0,48447000000.0,335058940000.0001,1175569000.0,533898000000.0
total_liabilities,5995,0.0,0.0,763546340.0,5124279500.0,13572900000.0,32065500000.0,201577520000.0004,-22289000000.0,339965483000.0
total_equity,5995,0.0,0.0,-5991556000.0,2762566500.0,6644933000.0,15287500000.0,159317740000.00012,-15147000000.0,325084000000.0
cash_and_equivalents,5995,0.11676396997497916,0.0,25969190.0,532070000.0,1531000000.0,4462500000.0,64098070000.000015,401000.0,336449225000.0
total_debt,5995,0.0,0.0,0.0,2320446500.0,6256000000.0,13779000000.0,98735800000.00015,-27299000000.0,175230000000.0
shares_outstanding,5995,0.0,0.0,21920651.419999998,150063792.5,328619000.0,764000000.0,8409124419.240018,210.0,25060000000.0
close,5995,0.0,0.0,11.13,59.67,110.79,212.29500000000002,1165.0240000000067,0.95,9811.8
adjusted_close,5995,0.0,0.0,10.3764,56.06,105.29,203.095,1149.1852000000029,0.95,9811.8
volume,5995,0.0,0.0,144672.42,954513.5,2120301.0,5240473.5,65929436.360000096,6318.0,689184120.0
market_cap,5995,0.0,0.0,2181974656.576,17007801920.43,32218444012.640003,70691241000.0,1321867528024.0234,19870.0,3761572553550.0
enterprise_value,5995,0.11676396997497916,0.0,2915807552.9553003,20049135785.0,38375554674.979996,80918513139.44499,1234852968891.7937,-277651425241.57,3803030553550.0
revenue_growth_yoy,5995,38.11509591326105,0.0,-0.44939953620161893,0.008587563439981183,0.07571313741825714,0.152735474131516,1.1858013456686283,-10.057708161582852,98.70884786760026
eps_growth_yoy,5995,22.018348623853214,0.016680567139282735,-14.892965426132792,-0.2915111600459368,0.0598974584626738,0.35992374796875964,15.570973322501773,-481988.4213836478,24185.09159921936
gross_margin,5995,23.135946622185156,0.0,0.050678636290345254,0.3068910414118016,0.44220133968420144,0.6506849465457749,0.9289239990898759,-34.974156588160405,1.5802781289506953
operating_margin,5995,16.964136780650545,0.0,-0.31883135803221246,0.10010160659106684,0.17257101989648335,0.2570406926264306,0.67166660919375,-95.10006365372374,4.825301204819277
net_margin,5995,16.964136780650545,0.0,-0.4188684599554346,0.06574106922393305,0.12096621586012016,0.1984300133444587,0.5687100403077483,-148.7069806917038,1.9608433734939759
roe,5995,16.964136780650545,0.0,-3.470558514449486,0.07378803903001466,0.162347689119621,0.3063712739906866,4.026465562430336,-254.55733646077664,113.00330487469017
roa,5995,16.964136780650545,0.0,-0.12848621929385656,0.035716661112335304,0.06857084397555532,0.12324128006970284,0.32251154876852944,-0.41087529603325196,1.8918416916702385
pe_ratio,5995,16.964136780650545,0.0,-194.94972056199705,15.099695102309424,24.23994897649936,36.50573698244217,377.53161323987405,-6629.8336,33339.3125
pb_ratio,5995,0.0,0.0,-83.72695412136949,1.9586051866834726,3.966908492771189,8.408462694084708,122.68376358702886,-5147.581145426114,3372.8903477003573
ev_to_ebit,5995,17.06422018348624,0.0,-219.3745174800423,13.977849481891786,20.70540473064827,30.211810773650676,278.41041936152544,-3908.286247751946,12452.598573770514
ebit_to_tev,5995,17.06422018348624,0.0,-0.07895948685475031,0.029801251327109052,0.04562039786272192,0.06584889591984158,0.23929962902052962,-2.4950840056430814,2.7439343057650283
fcf_yield,5995,19.38281901584654,0.0,-0.24604153740323811,0.022502467035782344,0.03843722091061532,0.061244321520562764,0.3153904200988885,-20.69362662447148,48126.936223235825
earnings_yield,5995,16.964136780650545,0.0,-0.1853382339615336,0.022917466066823575,0.037391071095948976,0.05681436845416716,0.2605205400185722,-1.8054006381157428,45644.65108379509
debt_to_equity,5995,0.0,0.0,-15.10309767810965,0.2980410866063611,0.6366236998769255,1.2346890853428023,20.294805256781192,-590.0714285714286,861.987320149793
debt_to_assets,5995,0.0,0.0,0.0,0.18413021061675847,0.2909979114523542,0.41188230885724975,1.211072801397691,-0.7687910107296742,3.1327634274544693
return_3m,5995,5.554628857381151,0.0,-0.3345819590671094,-0.06720565718129018,0.031639714663744156,0.1277842370818036,0.5186211704785701,-0.8105616093880972,2.552585297221245
return_6m,5995,11.075896580483736,0.0,-0.46404306894308744,-0.07254949000705635,0.05784908933217703,0.19373279165524082,0.9087869716430206,-0.902502157031924,4.4526315789473685
return_12m,5995,21.968306922435364,0.0,-0.562930324046373,-0.099474555292661,0.08843240594531021,0.3062957997982752,1.6830577500998671,-0.9795081967213115,10.147368421052631
volume_turnover,5995,0.0,0.0,0.0017661508564775184,0.004287728680333272,0.006171791248860529,0.009256847902279812,0.06493208135829907,0.0007247759167070961,11159.677
sector_rank_revenue_growth,5995,38.11509591326105,0.0,0.023809523809523808,0.2653061224489796,0.52,0.7727272727272727,1.0,0.014925373134328358,1.0
sector_rank_eps_growth,5995,22.018348623853214,0.0,0.023809523809523808,0.2631578947368421,0.52,0.7723285486443381,1.0,0.014925373134328358,1.0
sector_rank_roe,5995,16.964136780650545,0.0,0.023809523809523808,0.2631578947368421,0.52,0.7727272727272727,1.0,0.014925373134328358,1.0
sector_rank_operating_margin,5995,16.964136780650545,0.0,0.023809523809523808,0.2631578947368421,0.52,0.7727272727272727,1.0,0.014925373134328358,1.0
sector_rank_ebit_to_tev,5995,17.06422018348624,0.0,0.023809523809523808,0.2653061224489796,0.52,0.7727272727272727,1.0,0.014925373134328358,1.0
sector_rank_fcf_yield,5995,19.38281901584654,0.0,0.023809523809523808,0.26666666666666666,0.5192307692307693,0.7692307692307693,1.0,0.015625,1.0
sector_rank_return_12m,5995,21.968306922435364,0.0,0.023809523809523808,0.2631578947368421,0.52,0.7716557017543859,1.0,0.014925373134328358,1.0
